REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.0189310226109187	-0.37321287858494	101	6.41562594670504e-06	-0.47975619475199	101	2.19474379663296e-05	-0.475791205840126	101	2.75596835218799e-06	-0.493116390983086	101	5.61768367855225e-07	-0.501866585208816	101	4.58746215103723e-08	-0.51908801234889	101
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	0.478452731340991	0.342790955805905	23	0.366137753297286	-0.387562357369134	23	0.268183988540506	-0.436596374202744	23	0.465185068328371	-0.36001515036601	23	0.462155036865688	-0.346523363561373	23	0.512060778727445	-0.343804674881099	23
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.74294532627866	-0.376818043639185	9	0.694534050179212	-0.404050740652468	9	0.950960951799878	0.264904304004146	9	0.811498231620137	-0.337018515806806	9	0.847910099241098	-0.315543755427883	9	0.698114021837642	-0.391999784584481	9
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.467351712614871	0.312892975903331	30	0.438418606498769	-0.33801216477877	30	0.577218672346468	-0.316826338355118	30	0.402959115888641	-0.349867458190135	30	0.409938727698684	-0.333229800491652	30	0.294414976599064	-0.370214933387891	30
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.715506385104545	0.311808878666624	14	0.806743112979122	-0.308717356940346	14	0.747444551591128	-0.341062400111478	14	0.732470232470233	-0.332914100751995	14	0.628650603223953	-0.34885677588458	14	0.65975120658011	-0.349721986513231	14
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.090399288331083	-0.539983288898367	19	0.380010670029343	-0.41438545114187	19	0.558436178309585	-0.365669583562569	19	0.289344895681291	-0.449942219834718	19	0.174614059952148	-0.469963000259299	19	0.232056782668574	-0.461768073072993	19
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.951573415159627	-0.247723936484949	12	0.607883937717021	0.365213065985214	12	0.657665816326531	0.355027615368626	12	0.718864518952032	0.326800670778852	12	0.250191226096738	0.472480291235063	12	0.512060778727445	0.377782087617554	12
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.509783387039026	-0.54340323064663	6	0.212359267350025	-0.67725554639479	6	0.0775083843675517	-0.764083403574209	6	0.125643503285027	-0.723234114507385	6	0.0955581716600285	-0.725146416859212	6	0.143359003196925	-0.702060597349432	6
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.426142224884363	0.384247958832269	18	0.953004651162791	0.217064217553904	18	0.813604138723894	-0.29144916783014	18	0.965293023061323	-0.207787634552112	18	0.981985496280073	-0.184840388138564	18	0.976102269976656	0.186146512886016	18
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.717687883767189	0.269300407147506	24	0.183166394906437	-0.459772447788919	23	0.144509998405016	-0.485811164667801	23	0.272398073005917	-0.422434573547207	23	0.0317816077235429	-0.519054954841332	23	0.106156211786922	-0.489362437319263	23
