logFC	AveExpr	t	P.Value	adj.P.Val	B
-119.5432	213.475177777778	-3.99602509771629	0.000226256830718935	0.999195311214167	-4.59509553589661
-176.3228	-22.966	-3.92245615667254	0.000284881334411358	0.999195311214167	-4.59509626353076
160.8202	-84.2584777777778	3.84534197598242	0.000362017523170679	0.999195311214167	-4.59509702605325
255.347777777778	126.694333333333	3.57707491894766	0.000819881021759816	0.999195311214167	-4.59509967082862
-222.351177777778	-16.1631666666667	-3.52525887760132	0.000957166276218849	0.999195311214167	-4.59510017908772
430.832	105.178688888889	3.50211641214445	0.00102534453307225	0.999195311214167	-4.59510040570986
-281.190333333333	-66.4723666666667	-3.43761874205081	0.00124068577464059	0.999195311214167	-4.59510103591058
129.049333333333	382.756355555556	3.35336554663567	0.00158744702501018	0.999195311214167	-4.59510185563066
-184.3402	-30.8559666666667	-3.31594467729855	0.00176939288033893	0.999195311214167	-4.59510221826182
-149.807911111111	276.162866666667	-3.28049947052631	0.0019598393415322	0.999195311214167	-4.59510256084428
196.606022222222	-154.812433333333	3.24070138262702	0.00219677318837073	0.999195311214167	-4.59510294438016
-343.422444444445	-13.6802444444444	-3.2242192144469	0.00230262527041943	0.999195311214167	-4.59510310285533
151.9888	-259.920311111111	3.20763042053928	0.00241401754449584	0.999195311214167	-4.59510326213182
-143.834577777778	127.292088888889	-3.20197321847252	0.00245315534241369	0.999195311214167	-4.59510331639676
-77.0964	240.975311111111	-3.16934780709096	0.00269081223393087	0.999195311214167	-4.59510362881098
113.061066666667	124.017111111111	3.13762536041056	0.00294258076397672	0.999195311214167	-4.59510393167352
-230.240311111111	75.4029111111111	-3.0684165770685	0.00357086617710143	0.999195311214167	-4.59510458912643
-119.127222222222	5.2327	-3.04329857287885	0.00382854667478485	0.999195311214167	-4.5951048265504
-381.615044444445	-169.838322222222	-3.03620796112946	0.00390438434577785	0.999195311214167	-4.59510489345379
-172.541244444444	-0.0290888888888885	-3.03383082116741	0.00393012265062648	0.999195311214167	-4.59510491587132
-114.5888	80.0657333333333	-2.99873212862092	0.00432913766161955	0.999195311214167	-4.59510524615643
-140.868866666667	285.918588888889	-2.97928857778329	0.00456618820051587	0.999195311214167	-4.59510542853623
-342.699333333333	98.6636222222222	-2.96795585859019	0.00470989513041088	0.999195311214167	-4.59510553463824
-596.987777777778	140.646022222222	-2.95257579432315	0.00491169050449201	0.999195311214167	-4.59510567839516
585.529244444444	17.4380444444444	2.9520456899808	0.00491878760969137	0.999195311214167	-4.59510568334509
-120.058244444444	-7.17021111111111	-2.94161720106014	0.00506036669093673	0.999195311214167	-4.59510578065494
-69.7268222222222	113.905544444444	-2.92873044418458	0.00524057118563187	0.999195311214167	-4.59510590072374
-112.325466666667	-200.966288888889	-2.9173830495867	0.00540418546938912	0.999195311214167	-4.59510600628344
-129.454466666667	200.436055555556	-2.90700646984029	0.00555795609343115	0.999195311214167	-4.59510610267377
-424.562488888889	32.3013333333333	-2.90290586721077	0.00561983864919265	0.999195311214167	-4.59510614072839
-141.953555555556	-69.5485111111111	-2.88688088448749	0.00586787619183494	0.999195311214167	-4.59510628924212
-172.035711111111	108.960766666667	-2.87972132154464	0.00598195236432605	0.999195311214167	-4.59510635548927
-274.788644444444	-7.36632222222223	-2.87424590200813	0.00607058236694545	0.999195311214167	-4.59510640610884
-175.289422222222	173.782755555556	-2.87131743582922	0.00611848467349621	0.999195311214167	-4.59510643316632
-126.9406	-190.587855555556	-2.85996852864805	0.00630746224996591	0.999195311214167	-4.59510653791918
-156.329355555556	136.505655555556	-2.85931897556645	0.00631844071965366	0.999195311214167	-4.59510654390961
171.337822222222	-183.375644444444	2.84975712069735	0.0064821182774374	0.999195311214167	-4.59510663202873
-147.028111111111	236.352033333333	-2.84821222657968	0.00650892987805554	0.999195311214167	-4.59510664625468
-120.150755555556	-226.107222222222	-2.844929965911	0.00656623546505557	0.999195311214167	-4.59510667646844
121.011866666667	-62.4527555555556	2.8417366940677	0.00662243643926921	0.999195311214167	-4.5951067058493
-297.105444444444	0.777944444444446	-2.84170985079452	0.00662291076198472	0.999195311214167	-4.59510670609622
-161.261577777778	126.028944444444	-2.82799145346303	0.00686948279952624	0.999195311214167	-4.59510683216151
-164.598088888889	92.0092666666667	-2.82357388800612	0.0069506777620051	0.999195311214167	-4.5951068727027
116.460866666667	-150.551833333333	2.82215049843578	0.00697702861580818	0.999195311214167	-4.59510688575989
-110.445088888889	91.4178555555556	-2.82066142983912	0.00700469444942715	0.999195311214167	-4.59510689941662
-164.937822222222	-3.65775555555555	-2.81783549572063	0.00705747805764311	0.999195311214167	-4.59510692532585
-141.122555555556	260.761255555556	-2.81281211690111	0.00715221706197533	0.999195311214167	-4.59510697135508
-76.8537555555555	170.865255555556	-2.81214751483776	0.0071648390807094	0.999195311214167	-4.59510697744224
-154.612533333333	372.154755555556	-2.81141422583139	0.00717878953295818	0.999195311214167	-4.5951069841578
-162.927111111111	41.8370666666667	-2.79456798665454	0.00750629121324471	0.999195311214167	-4.5951071382329
-110.404577777778	72.0420666666667	-2.78931220410349	0.00761126324136838	0.999195311214167	-4.59510718622103
-124.972866666667	50.8298777777778	-2.78259509128566	0.00774739896345847	0.999195311214167	-4.59510724749522
84.9143333333333	-299.694988888889	2.77957847086533	0.0078092665483362	0.999195311214167	-4.59510727499234
-93.2484666666667	194.3377	-2.77662787719623	0.00787022161968897	0.999195311214167	-4.59510730187509
-281.337288888889	-24.6905555555556	-2.77591543188367	0.00788500550348923	0.999195311214167	-4.59510730836429
-140.937622222222	1.17027777777778	-2.77574013706489	0.00788864696247414	0.999195311214167	-4.59510730996082
-124.783333333333	-140.607155555556	-2.76996557469727	0.00800947650500175	0.999195311214167	-4.59510736252933
-223.023155555556	-27.0012	-2.75730330957225	0.00828043705806839	0.999195311214167	-4.59510747763168
529.557466666667	17.9691111111111	2.74993012369729	0.00844209065488576	0.999195311214167	-4.59510754454805
-67.7278	207.375788888889	-2.74910602001667	0.0084603385862113	0.999195311214167	-4.59510755202238
120.941688888889	-129.283066666667	2.74247149387125	0.00860857685735519	0.999195311214167	-4.59510761215882
-97.1397333333334	44.0437333333333	-2.7388044603983	0.00869153571311871	0.999195311214167	-4.59510764536956
-241.8696	42.0029111111111	-2.73874447646564	0.0086928988313903	0.999195311214167	-4.59510764591264
-97.3423111111112	365.528866666667	-2.73696611760397	0.00873340123165037	0.999195311214167	-4.59510766201115
-95.3142888888889	-222.609722222222	-2.73033923533832	0.00888586686841454	0.999195311214167	-4.59510772195925
-127.406044444445	218.418644444444	-2.72984749040485	0.00889727774768941	0.999195311214167	-4.59510772640507
-95.1516888888889	279.575711111111	-2.71737105078317	0.0091913493792646	0.999195311214167	-4.59510783908187
-445.163155555556	-49.8194222222222	-2.70958481364752	0.00937938236151996	0.999195311214167	-4.59510790928154
-149.044266666667	112.122977777778	-2.70896846685749	0.00939441702306318	0.999195311214167	-4.5951079148345
-279.888288888889	2.19472222222222	-2.70387544207964	0.00951950384721385	0.999195311214167	-4.59510796069779
-238.202511111111	32.8025	-2.70119292985638	0.00958600206175576	0.999195311214167	-4.59510798483816
-471.969044444445	17.7105222222222	-2.68783044623965	0.0099236641977785	0.999195311214167	-4.59510810492414
-142.684266666667	71.9760666666667	-2.68767503759822	0.00992765483563265	0.999195311214167	-4.59510810631914
-101.129666666667	66.9775	-2.68640952155017	0.00996020616804518	0.999195311214167	-4.59510811767742
